,Gini
TP-AB_nurf-1,0.021049751693756218
alpha-P2_C08F8.3,0.021049042650725346
TP-P2_teg-4,0.02099864814923639
TP-ABa_Y37E11AL.3,0.020937495885106176
alpha-P1_taf-13,0.020909692856163443
alpha-P2_deps-1,0.020899177493258377
TP-P2_F44B9.8,0.02083501196243843
alpha-diff_spn-4,0.020786922639041115
TP-P2_unc-59,0.0207657510496877
TP-P2_T10E9.2,0.020753690354629522
alpha-ABa_crn-1,0.020734792850123737
TP-ABa_slc-17.2,0.02071954156954157
TP-ABa_rpl-10,0.02066200848652772
alpha-AB_wdfy-2,0.02062762138473623
TP-ABa_rnp-1,0.02062388814888815
TP-ABa_spn-4,0.020585870945255973
TP-ABa_C30F12.4,0.020550332547354604
TP-P2_ubc-25,0.02051428549663844
alpha-diff2_Y37E3.1,0.02050850017817778
TP-P2_sas-5,0.020503756707617005
alpha-P2_rrf-1,0.02038575634242301
alpha-P2_K04C2.3,0.02035001656082013
TP-P1_Y14H12B.1,0.020324000767750768
TP-P0_puf-6,0.020313434761045055
alpha-diff2_pdi-1,0.02030485207330795
TP-AB_cec-3,0.020182476666851662
alpha-AB_rps-8,0.02003647523291189
alpha-diff2_C27F2.9,0.020004393907859817
TP-ABa_ZC477.3,0.02000162315638506
alpha-P1_DY3.8,0.01999782316020284
alpha-P1_rfc-4,0.019994265734265736
alpha-AB_cdk-1,0.019895923171850776
alpha-P1_dhs-22,0.019888543493543496
TP-ABa_Y52B11A.8,0.01974972281062793
alpha-diff2_mdt-4,0.019708314510924804
alpha-diff_F27D4.1,0.019697375421172215
TP-P1_fntb-1,0.01965358814796315
alpha-diff_dpf-3,0.01957493102412503
alpha-P2_T20B12.7,0.019534457164567462
alpha-diff2_rif-1.1,0.019514036973127886
TP-P0_F26G5.1,0.01945715195999287
TP-AB_ndc-80,0.019415624271841833
alpha-diff2_B0035.3,0.01940472038174244
alpha-AB_gld-3,0.019265278729984615
TP-P2_hda-3,0.019143936503311507
TP-ABa_pyk-1,0.01891253897055626
TP-ABa_mel-26,0.01890995381932882
alpha-P2_unc-85,0.01871352034539535
TP-AB_eef-2,0.018712010287349656
alpha-P2_fib-1,0.01870009755250577
TP-P1_nra-2,0.01865654105154105
alpha-P2_T26E3.4,0.018577863635182358
TP-P1_csc-1,0.018565893177335487
alpha-diff_D1054.3,0.018518466163466165
alpha-P1_gpd-1,0.018482252142298136
TP-ABa_spcs-3,0.018425689380064385
TP-ABa_nra-1,0.01837104143541644
TP-P0_noca-1,0.018362645492876112
TP-P0_tpp-2,0.018344637225519576
TP-ABa_fib-1,0.01830421751859252
TP-P0_rpn-1,0.01826627598411689
TP-AB_cope-1,0.01820884531245108
alpha-P2_rif-1.1,0.01819401742877933
TP-ABa_dnj-11,0.01819281867370103
TP-ABa_C37A2.8,0.018012958892958893
alpha-diff_act-2,0.01799797954360454
alpha-AB_math-33,0.017986790616790618
TP-P0_F25H8.2,0.0179790725821058
alpha-ABa_F10E9.3,0.017900582364493024
TP-P0_dnj-23,0.017817986919126623
alpha-AB_ptp-2,0.01778405569804857
TP-AB_plrg-1,0.01769195318926088
TP-ABa_ddx-17,0.01760795549766138
TP-P2_D2030.8,0.01756879820095729
TP-ABa_lex-1,0.01754825613524883
alpha-P2_mob-4,0.017536829347123466
TP-P0_kin-10,0.01752220019879111
TP-ABa_lmp-1,0.01747297399767988
alpha-AB_mdt-4,0.017461997261997264
TP-ABa_air-1,0.017452167630726326
alpha-diff2_ZK616.5,0.017263225747316657
alpha-diff_rnp-6,0.01723311182281771
TP-ABa_ctc-1,0.017226492189727487
TP-P1_panl-2,0.01710253676309826
TP-P2_ints-11,0.01707931367099865
alpha-diff_F49C12.11,0.017038792688792687
alpha-AB_rpn-7,0.01692229985700574
alpha-diff_rnp-1,0.01681508769008769
alpha-ABa_cdk-1,0.016722087071177977
TP-ABa_cyn-5,0.016662871186053006
alpha-diff2_mek-1,0.016646827167302283
TP-P2_Y51F10.2,0.01663534855914535
TP-P2_mcm-2,0.01663252998551641
TP-P0_dli-1,0.016615515850375993
alpha-diff_apc-10,0.016614540436415436
alpha-ABa_R53.4,0.016606948649640955
alpha-diff2_sftb-1,0.016601824906633884
alpha-ABa_wago-1,0.01659693330017142
alpha-P2_F53F4.11,0.01653969118844119
alpha-P2_akt-1,0.016516721284413595
alpha-diff_mel-28,0.016501961001961003
alpha-P2_F14H3.6,0.01646535187035187
TP-ABa_chc-1,0.01642407846782847
alpha-P2_crml-1,0.016383692966159026
TP-ABa_F21D5.1,0.016372663776265173
TP-ABa_F22D6.2,0.016335390948083256
TP-P0_mei-1,0.016291575900950903
alpha-P1_hint-1,0.016220113775113777
TP-P1_snap-1,0.01605998495090794
TP-P1_nduo-1,0.01605847534818123
alpha-diff_ani-2,0.016003764753764752
TP-AB_oef-1,0.01596915130324221
TP-P1_ccdc-12,0.015957516187516188
TP-ABa_eif-1,0.01594883516056593
TP-ABa_F52A8.1,0.015925319495319494
TP-P2_W05F2.3,0.01591786965436981
TP-P2_npp-12,0.015885501165501165
TP-P0_mog-2,0.01586932812693842
alpha-P1_ent-6,0.01584014464837994
TP-P2_hmg-5,0.015785038347357352
alpha-diff_dpy-30,0.015705039261437865
TP-P2_nuo-4,0.015694551917099994
TP-ABa_rpn-12,0.01566034051240782
alpha-diff_cec-3,0.015586281681281684
alpha-diff_mdt-26,0.015554594123824896
TP-ABa_rde-4,0.015532942776178069
alpha-diff_mex-3,0.015318560957016837
TP-ABa_lmd-3,0.015312574011085916
TP-ABa_ndk-1,0.015309141441347323
alpha-P2_rpn-3,0.015251331614513433
alpha-ABa_inx-3,0.015220391765097646
TP-P1_top-1,0.015175470274097727
TP-P0_dao-5,0.015128670222751108
TP-P0_gid-1,0.015041469932702426
alpha-P1_mex-6,0.015018712496653675
TP-ABa_pdi-6,0.015014518814518815
TP-ABa_R04F11.2,0.014975596787994979
alpha-diff_cyb-3,0.01496188734780747
TP-P2_ZC477.3,0.01490345561845562
alpha-P2_tut-2,0.014887377591328639
TP-AB_eif-2A,0.01483526390858559
TP-ABa_C01G8.1,0.014827404863654865
alpha-P2_spe-48,0.014775983275983274
TP-P2_mex-6,0.014720993643527582
TP-ABa_C16C10.4,0.014634717134717135
alpha-ABa_hda-3,0.014607897610287317
TP-P2_C47E8.4,0.014601683602592693
TP-ABa_gna-2,0.014589294025691084
alpha-diff2_dcr-1,0.014512797827172824
TP-P0_F25B5.6,0.014510715799852704
TP-P0_cux-7,0.014505482643717938
alpha-AB_cyc-2.1,0.014483867664014185
TP-AB_rmd-1,0.014460767344771874
TP-P2_sup-17,0.01445419857919858
TP-P0_ZK973.1,0.014394497289203173
alpha-AB_F25H8.2,0.014368571220969413
alpha-ABa_rpl-10,0.014367622605314913
alpha-diff_dut-1,0.01436075133336163
TP-ABa_ttx-7,0.014346021482602365
alpha-diff_cids-2,0.014339068046962784
alpha-diff2_T12G3.6,0.014265754307243405
TP-P1_snr-2,0.014261363636363636
alpha-P2_cey-3,0.014230983715358716
TP-P2_M106.3,0.014230835558776736
TP-ABa_mex-5,0.014220348725348726
TP-ABa_rbx-2,0.014187568556799326
alpha-AB_lsm-5,0.014179050565492471
TP-ABa_aman-2,0.014126200071169165
alpha-diff_eef-1A.1,0.014121669996669996
alpha-diff2_npp-14,0.014105246605246606
TP-AB_mek-1,0.01410463480963481
alpha-ABa_adss-1,0.014077073976593208
alpha-diff_rsa-2,0.014020891145891145
alpha-diff_rpb-4,0.014016672513739822
alpha-diff_tmem-258,0.0139336132213099
TP-ABa_gmpr-1,0.013921473127906954
alpha-diff_met-2,0.01388261584969393
TP-AB_T19A6.1,0.013870831506456509
TP-P0_thoc-5,0.013861211582814146
alpha-AB_gpd-1,0.01386098836756925
